Method,Sensitivity (%),Specificity (%),Accuracy (%),F1 Score (%),MCC (%),auROC (%)
amPEP,76.1051374,19.11589008,47.61051374,59.22826592,-5.815821362,47.61051374
CAMP-ANN,61.05137395,78.25567503,69.65352449,66.79738562,39.90201035,69.65352449
CAMP-DA,83.99044205,35.00597372,59.49820789,67.46641075,21.78963523,59.49820789
CAMP-RF,74.79091995,35.72281959,55.25686977,62.56871564,11.42144608,55.25686977
CAMP-SVM,79.56989247,48.02867384,63.79928315,68.73065015,29.08312095,63.79928315
Veltri-DNN,87.09677419,56.98924731,72.04301075,75.70093458,46.23112835,72.04301075
BERT - DNN,85.06571087,90.08363202,87.57467145,87.25490196,75.2441332,95.72454676
BERT BFD - DNN,88.76941458,88.53046595,88.64994026,88.66348449,77.3001012,95.43207022
T5XL UNI - DNN,89.60573477,93.42891278,91.51732378,91.35200974,83.09539874,97.07894583
T5XL BFD - DNN,88.41099164,89.60573477,89.0083632,88.94230769,78.0222951,95.93737376
XLNET - DNN,83.15412186,88.76941458,85.96176822,85.55623848,72.0371982,94.01343765
